Champion,Pos,GP,P%,B%,W%,CTR%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM,Cluster,PC1,PC2,Pos_Color,Presence,Meta_Tier
Bard,Support,12,15.0,28.7,50.0,67.0,1.0833333333333333,2.8333333333333335,12.0,4.6,82.2,19.8,25.0,12.0,57.0,0.2,1.0,2.8,247.0,9.1,10.4,2.01,0.6,2,-4.66567946133424,1.9410459062916112,4,43.7,A
Blitzcrank,Support,1,1.3,2.5,0.0,100.0,0.0,5.0,7.0,1.4,63.6,26.3,0.0,24.0,-87.0,-2.0,1.0,2.3,191.0,9.3,7.7,2.2,0.47,2,-5.119973023250144,-1.270465986417934,4,3.8,C
Braum,Support,16,20.0,18.8,50.0,44.0,0.5,3.625,12.375,3.6,82.7,25.7,31.0,49.0,-29.0,-0.6,1.0,1.9,230.0,8.2,9.8,1.96,0.41,2,-4.863876444591225,0.9482198944404447,4,38.8,A
Caitlyn,ADC,15,18.8,26.3,33.0,47.0,4.333333333333333,2.4,2.8666666666666667,3.0,72.0,15.4,7.0,-23.0,-216.0,5.1,9.1,29.9,712.0,29.6,27.7,0.41,0.29,3,2.5071572321460076,-0.5407474404324664,3,45.1,B
Camille,Top,3,3.8,0.0,67.0,100.0,4.0,4.0,7.333333333333333,2.8,63.0,31.6,67.0,43.0,136.0,-7.3,7.9,23.8,569.0,23.2,22.7,0.28,0.25,1,0.6564458307887867,-0.9786518553614519,0,3.8,C
Cassiopeia,Middle,8,10.0,11.3,50.0,75.0,4.25,2.625,7.625,4.5,76.6,17.9,63.0,-31.0,167.0,4.6,8.2,25.1,656.0,23.8,23.8,0.5,0.18,3,1.3662071892226197,0.4812449338486369,2,21.3,B
Corki,ADC,21,26.3,10.0,52.0,38.0,5.285714285714286,3.4285714285714284,6.333333333333333,3.4,74.2,20.8,19.0,-197.0,-108.0,-5.5,8.9,29.4,815.0,29.1,25.4,0.38,0.36,1,1.9998375588593968,-0.08441849280090821,3,36.3,A
Dr. Mundo,Jungle,5,6.3,0.0,100.0,60.0,4.6,1.4,8.6,9.4,71.7,13.7,40.0,414.0,513.0,9.0,6.9,19.8,708.0,23.3,20.9,0.35,0.48,3,1.1856739498706108,2.4115133718824135,1,6.3,C
Draven,ADC,5,6.3,10.0,40.0,80.0,4.4,3.0,5.0,3.1,67.1,16.9,40.0,554.0,106.0,0.8,8.9,29.1,625.0,24.7,28.0,0.44,0.33,3,2.054333265271173,-0.04553314916715458,3,16.3,B
Elise,Support,1,1.3,0.0,0.0,0.0,0.0,5.0,4.0,0.8,66.7,22.7,0.0,-23.0,-521.0,2.0,1.5,4.4,338.0,15.3,10.4,1.83,0.51,2,-3.9991013833960274,-1.6035975907805617,4,1.3,C
Ezreal,ADC,15,18.8,11.3,53.0,73.0,3.933333333333333,1.9333333333333333,5.8,5.0,66.4,13.3,7.0,-8.0,170.0,1.1,9.4,29.6,866.0,31.0,25.0,0.42,0.35,3,2.5849789628817805,0.4666024578699183,3,30.1,A
Galio,Middle,9,11.3,16.3,67.0,56.0,3.3333333333333335,2.2222222222222223,10.555555555555555,6.3,69.1,17.7,56.0,-156.0,-195.0,-13.4,8.1,24.0,568.0,19.6,20.9,0.37,0.24,1,0.4763339872681962,1.2335940619316956,2,27.6,B
Galio,Top,3,3.8,16.3,100.0,100.0,1.3333333333333333,1.3333333333333333,11.0,9.3,67.3,15.4,0.0,-182.0,-32.0,-4.0,7.0,18.9,498.0,16.7,18.3,0.36,0.15,1,-0.07543286252543366,1.2685655951747405,0,20.1,B
Gnar,Top,1,1.3,0.0,100.0,100.0,2.0,3.0,4.0,2.0,35.3,60.0,0.0,590.0,785.0,18.0,8.5,24.5,491.0,18.2,20.1,0.37,0.14,3,0.5295901134427724,-4.257325492891921,0,1.3,C
Gragas,Top,1,1.3,0.0,100.0,0.0,2.0,2.0,7.0,4.5,52.9,25.0,0.0,23.0,-81.0,-4.0,6.7,19.5,682.0,19.9,18.1,0.37,0.2,1,0.33883639328815623,-0.7836984793400988,0,1.3,C
Gwen,Top,1,1.3,1.3,100.0,100.0,10.0,6.0,6.0,2.7,55.2,27.3,100.0,617.0,2.0,-10.0,7.4,25.6,764.0,23.2,23.5,0.34,0.54,3,1.4679325153344112,-0.35437838799326277,0,2.6,C
Hwei,Middle,3,3.8,3.8,67.0,67.0,3.0,3.3333333333333335,8.666666666666666,3.5,77.8,30.3,0.0,-16.0,43.0,6.0,9.0,26.6,811.0,30.3,22.8,0.5,0.28,3,1.4278723873374521,-0.5414678369264891,2,7.6,C
Ivern,Jungle,1,1.3,0.0,0.0,100.0,1.0,4.0,3.0,1.0,100.0,28.6,100.0,375.0,57.0,-3.0,5.2,15.6,170.0,11.2,20.7,0.34,0.31,1,-1.7031021144089378,-0.42084725373910414,1,1.3,C
